,Date,Store Number,City,Zip Code,County Number,County,Category,Category Name,Vendor Number,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
61196,03/08/2016,2666,ANKENY,50023,77.0,Polk,1011300.0,TENNESSEE WHISKIES,85,86691,Jack Daniel's Tennessee Fire Mini,500,$4.80,$7.20,12,$86.40,6.0,1.59
209504,03/08/2016,2604,LEMARS,51031,75.0,Plymouth,1062310.0,SPICED RUM,260,43337,Captain Morgan Spiced Rum,1000,$11.75,$17.63,12,$211.56,12.0,3.17
192527,01/19/2016,2651,WAVERLY,50677,9.0,Bremer,1081400.0,TRIPLE SEC,434,86507,Paramount Triple Sec,1000,$3.84,$5.76,12,$69.12,12.0,3.17
180672,07/28/2015,4317,GREENFIELD,50849,1.0,Adair,1031080.0,VODKA 80 PROOF,380,37338,UV Vodka PET,1750,$10.49,$15.99,6,$95.94,10.5,2.77
120333,03/28/2016,2633,DES MOINES,50320,77.0,Polk,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,420,67487,Grand Marnier Raspberry Peach,750,$23.31,$34.97,1,$34.97,0.75,0.2
102560,02/11/2015,3738,DUBUQUE,52001,31.0,Dubuque,1071100.0,AMERICAN COCKTAILS,421,59037,Desert Island Long Island Ice Tea Cocktail,1000,$3.86,$6.04,1,$6.04,1.0,0.26
207343,02/11/2015,3524,AMES,50010,85.0,Story,1031080.0,VODKA 80 PROOF,301,38177,Titos Handmade Vodka,1000,$11.92,$17.88,48,$858.24,48.0,12.68
87780,07/09/2015,3647,CLINTON,52732,23.0,Clinton,1011200.0,STRAIGHT BOURBON WHISKIES,65,19068,Jim Beam,1750,$20.99,$31.49,6,$188.94,10.5,2.77
145205,01/06/2015,4387,SPIRIT LAKE,51360,30.0,Dickinson,1062310.0,SPICED RUM,260,43334,Captain Morgan Spiced Rum,375,$5.00,$7.50,6,$45.00,2.25,0.59
259338,02/04/2015,2536,PLEASANT HILL,50317,77.0,Polk,1022100.0,TEQUILA,192,89177,Casamigos Reposado,750,$27.84,$41.76,6,$250.56,4.5,1.19
269172,01/06/2015,4829,DES MOINES,50314,77.0,Polk,1062300.0,FLAVORED RUM,478,42233,Sugar Island Coconut,750,$10.00,$15.00,1,$15.00,0.75,0.2
79374,12/16/2015,2568,CEDAR RAPIDS,52402,57.0,Linn,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,43126,Bacardi Superior Rum,750,$8.26,$12.39,12,$148.68,9.0,2.38
92800,03/03/2015,2529,CEDAR RAPIDS,52405,57.0,Linn,1081600.0,WHISKEY LIQUEUR,421,64868,Fireball Cinnamon Whiskey,1750,$15.33,$23.00,6,$138.00,10.5,2.77
114650,12/21/2015,2233,SPIRIT LAKE,51360,30.0,Dickinson,1081390.0,IMPORTED SCHNAPPS,421,69657,Dr. Mcgillicuddy's Mentholmint,1000,$11.00,$16.50,12,$198.00,12.0,3.17
83214,11/17/2015,4172,ALDEN,50006,42.0,Hardin,1011100.0,BLENDED WHISKIES,492,27433,Bird Dog Peach Flavored Whiskey,750,$10.00,$15.00,3,$45.00,2.25,0.59
105040,01/04/2016,2633,DES MOINES,50320,77.0,Polk,1011200.0,STRAIGHT BOURBON WHISKIES,65,27783,Jim Beam Apple,750,$10.49,$15.74,12,$188.88,9.0,2.38
